name total correct accuracy error macro_f1
eurosat/16shots/8ctx/2prompts/seed2 8100 6562 81.0 19.0 80.1
eurosat/16shots/8ctx/2prompts/seed3 8100 6668 82.3 17.7 81.9
eurosat/16shots/16ctx/1prompts/seed1 8100 6370 78.6 21.4 78.0
eurosat/16shots/16ctx/1prompts/seed2 8100 6643 82.0 18.0 81.2
eurosat/16shots/16ctx/1prompts/seed3 8100 6424 79.3 20.7 78.7
fgvc_aircraft/1shots/1ctx/16prompts/seed1     
fgvc_aircraft/1shots/1ctx/16prompts/seed2     
fgvc_aircraft/1shots/1ctx/16prompts/seed3     
fgvc_aircraft/1shots/2ctx/8prompts/seed1 3333 670 20.1 79.9 18.3
fgvc_aircraft/1shots/2ctx/8prompts/seed2 3333 692 20.8 79.2 19.7
fgvc_aircraft/1shots/2ctx/8prompts/seed3 3333 656 19.7 80.3 18.0
fgvc_aircraft/1shots/4ctx/4prompts/seed1 3333 677 20.3 79.7 18.2
fgvc_aircraft/1shots/4ctx/4prompts/seed2 3333 658 19.7 80.3 17.3
fgvc_aircraft/1shots/4ctx/4prompts/seed3 3333 638 19.1 80.9 17.5
fgvc_aircraft/1shots/8ctx/2prompts/seed1 3333 627 18.8 81.2 15.8
fgvc_aircraft/1shots/8ctx/2prompts/seed2 3333 643 19.3 80.7 16.7
fgvc_aircraft/1shots/8ctx/2prompts/seed3 3333 641 19.2 80.8 16.2
fgvc_aircraft/1shots/16ctx/1prompts/seed1 3333 249 7.5 92.5 5.2
fgvc_aircraft/1shots/16ctx/1prompts/seed2 3333 68 2.0 98.0 0.5
fgvc_aircraft/1shots/16ctx/1prompts/seed3 3333 474 14.2 85.8 10.6
fgvc_aircraft/2shots/1ctx/16prompts/seed1     
fgvc_aircraft/2shots/1ctx/16prompts/seed2     
fgvc_aircraft/2shots/1ctx/16prompts/seed3     
fgvc_aircraft/2shots/2ctx/8prompts/seed1 3333 699 21.0 79.0 19.2
fgvc_aircraft/2shots/2ctx/8prompts/seed2 3333 728 21.8 78.2 20.3
fgvc_aircraft/2shots/2ctx/8prompts/seed3 3333 742 22.3 77.7 21.3
fgvc_aircraft/2shots/4ctx/4prompts/seed1 3333 676 20.3 79.7 17.9
fgvc_aircraft/2shots/4ctx/4prompts/seed2 3333 693 20.8 79.2 18.4
fgvc_aircraft/2shots/4ctx/4prompts/seed3 3333 723 21.7 78.3 19.6
fgvc_aircraft/2shots/8ctx/2prompts/seed1 3333 659 19.8 80.2 16.7
fgvc_aircraft/2shots/8ctx/2prompts/seed2 3333 642 19.3 80.7 16.6
fgvc_aircraft/2shots/8ctx/2prompts/seed3 3333 700 21.0 79.0 18.8
fgvc_aircraft/2shots/16ctx/1prompts/seed1 3333 463 13.9 86.1 12.4
fgvc_aircraft/2shots/16ctx/1prompts/seed2 3333 529 15.9 84.1 13.0
fgvc_aircraft/2shots/16ctx/1prompts/seed3 3333 609 18.3 81.7 16.0
fgvc_aircraft/4shots/1ctx/16prompts/seed1     
fgvc_aircraft/4shots/1ctx/16prompts/seed2     
fgvc_aircraft/4shots/1ctx/16prompts/seed3     
fgvc_aircraft/4shots/2ctx/8prompts/seed1 3333 772 23.2 76.8 22.3
fgvc_aircraft/4shots/2ctx/8prompts/seed2 3333 870 26.1 73.9 24.9
fgvc_aircraft/4shots/2ctx/8prompts/seed3 3333 825 24.8 75.2 23.7
fgvc_aircraft/4shots/4ctx/4prompts/seed1 3333 755 22.7 77.3 21.5
fgvc_aircraft/4shots/4ctx/4prompts/seed2 3333 748 22.4 77.6 20.4
fgvc_aircraft/4shots/4ctx/4prompts/seed3 3333 793 23.8 76.2 22.4
fgvc_aircraft/4shots/8ctx/2prompts/seed1 3333 698 20.9 79.1 19.4
fgvc_aircraft/4shots/8ctx/2prompts/seed2 3333 630 18.9 81.1 16.3
fgvc_aircraft/4shots/8ctx/2prompts/seed3 3333 779 23.4 76.6 21.9
fgvc_aircraft/4shots/16ctx/1prompts/seed1 3333 468 14.0 86.0 12.9
fgvc_aircraft/4shots/16ctx/1prompts/seed2 3333 683 20.5 79.5 18.6
fgvc_aircraft/4shots/16ctx/1prompts/seed3 3333 707 21.2 78.8 19.1
fgvc_aircraft/8shots/1ctx/16prompts/seed1     
fgvc_aircraft/8shots/1ctx/16prompts/seed2     
fgvc_aircraft/8shots/1ctx/16prompts/seed3     
fgvc_aircraft/8shots/2ctx/8prompts/seed1 3333 855 25.7 74.3 24.2
fgvc_aircraft/8shots/2ctx/8prompts/seed2 3333 828 24.8 75.2 23.0
fgvc_aircraft/8shots/2ctx/8prompts/seed3 3333 827 24.8 75.2 23.1
fgvc_aircraft/8shots/4ctx/4prompts/seed1 3333 857 25.7 74.3 24.1
fgvc_aircraft/8shots/4ctx/4prompts/seed2 3333 836 25.1 74.9 23.7
fgvc_aircraft/8shots/4ctx/4prompts/seed3 3333 845 25.4 74.6 24.1
fgvc_aircraft/8shots/8ctx/2prompts/seed1 3333 873 26.2 73.8 25.1
fgvc_aircraft/8shots/8ctx/2prompts/seed2 3333 802 24.1 75.9 22.9
fgvc_aircraft/8shots/8ctx/2prompts/seed3 3333 883 26.5 73.5 25.4
fgvc_aircraft/8shots/16ctx/1prompts/seed1 3333 831 24.9 75.1 24.0
fgvc_aircraft/8shots/16ctx/1prompts/seed2 3333 851 25.5 74.5 24.6
fgvc_aircraft/8shots/16ctx/1prompts/seed3 3333 858 25.7 74.3 24.5
fgvc_aircraft/16shots/1ctx/16prompts/seed1     
fgvc_aircraft/16shots/1ctx/16prompts/seed2     
fgvc_aircraft/16shots/1ctx/16prompts/seed3     
